Player Alias,Poker Site,Hands,Net Won,VP$IP,PFR,3Bet,"Postflop
Agg%",W$WSF%,WTSD%,"Won $
at SD",Wins,Losses,Vs. Player
Player 1,19,155,-51.45,0.199999999,0.154838709,0.021276595,0.26086956,0.269230759,0.269230759,0.428571367,,,
Player 2,1,176,-23.32,0.420454543,0.096590909,0.015384615,0.466101691,0.48387096,0.209677416,0.307692284,,,
Player 3,1,3171,108.3,0.196783349,0.121728161,0.034635879,0.309650053,0.41282565,0.266533066,0.556390973,,,
Player 4,1,70,2.53,0.228571425,0.142857141,0.076923074,0.285714272,0.454545413,0.363636331,0.249999938,,,
Player 5,2,241,42.23,0.232365144,0.082987552,0.027027027,0.468749995,0.510204071,0.224489791,0.818181744,,,
Player 6,1,107,-16.04,0.289719623,0.056074766,0,0.338709672,0.413793089,0.275862059,0.249999969,,,
Player 7,19,70,16.92,0.457142851,0.057142856,0.038461537,0.314814809,0.535714267,0.178571422,0.79999984,,,
Player 8,2,198,5.93,0.469696967,0.08080808,0.012658228,0.414201181,0.513157888,0.368421048,0.571428551,,,
Player 9,2,116,-4.27,0.284482756,0.00862069,0.024390243,0.283333329,0.571428551,0.249999991,0.428571367,,,
Player 10,2,47,-41.49,0.276595739,0,0,0.171428567,0.266666649,0.266666649,0.249999938,,,
Player 11,2,55,-6.76,0.236363632,0.072727271,0,0.208333325,0.333333306,0.333333306,0,,,
Player 12,2,125,62.24,0.511999996,0.151999999,0.13333333,0.350364961,0.52542372,0.457627111,0.592592571,,,
Player 13,2,222,40.37,0.265765765,0.094594594,0.012820513,0.369369366,0.519230759,0.326923071,0.647058785,,,
Player 14,1,281,-14.93,0.103202847,0.085409252,0.054945054,0.204081628,0.16666666,0.374999984,0.444444395,,,
Player 15,1,46,-5.88,0.499999989,0.304347819,0.279999989,0.476190465,0.421052609,0.368421033,0.57142849,,,
Player 16,2,99,-6.99,0.32323232,0.05050505,0,0.271186436,0.379310332,0.344827574,0.49999995,,,
Player 17,19,1057,-269.21,0.319772942,0.243140965,0.094972067,0.486238531,0.582159622,0.267605633,0.298245609,21,82,-50.46
Player 18,2,190,23.93,0.373684209,0.031578947,0.025641025,0.308176099,0.454545448,0.469696963,0.612903206,,,
Player 19,2,8165,18.91,0.166197183,0.128842621,0.039576936,0.353616533,0.4431946,0.262092238,0.480686693,,,
Player 20,2,49,-16.27,0.14285714,0,0,0,0.19999998,0.39999996,0.499999875,,,
Player 21,2,66,-43.87,0.727272716,0.106060604,0,0.205357141,0.291666661,0.374999992,0.388888867,,,
Player 22,2,7665,-150.6,0.111154599,0.079060665,0.026189598,0.377816291,0.408866994,0.228243021,0.525179852,,,
Player 23,2,51,-12.05,0.21568627,0.117647057,0,0.380952363,0.39999996,0.39999996,0.249999938,,,
Player 24,1,54,-9.51,0.314814809,0.240740736,0,0.631578914,0.39999996,0,0,,,
Player 25,19,390,-87.12,0.289743589,0.102564102,0.049689441,0.308571427,0.344444441,0.288888886,0.230769222,5,14,-8.15
Player 26,2,44,-16.23,0.454545444,0.249999994,0,0.799999973,0.642857097,0.214285699,0.333333222,,,
Player 27,2,3827,137.66,0.134831461,0.019858897,0.01754386,0.27480916,0.481262326,0.3234714,0.591463411,,,
Player 28,2,93,-29.93,0.602150531,0.021505376,0.028571428,0.259999997,0.320754711,0.264150938,0.357142832,,,
Player 29,1,40,5.14,0.474999988,0.074999998,0.133333324,0.424242411,0.44444442,0.166666657,0.333333222,,,
Player 30,2,90,-20.36,0.277777775,0.022222222,0,0.319999994,0.423076907,0.230769222,0.166666639,,,
Player 31,19,95,2.99,0.252631576,0.084210525,0,0.186046507,0.347826072,0.260869554,0.666666556,,,
Player 32,2,65,-27.55,0.107692306,0.061538461,0.039999998,0.39999992,0,0.333333222,0,,,
Player 33,2,105,-12.3,0.104761904,0.104761904,0.024999999,0.166666653,0.249999969,0.249999969,0,,,
Player 34,1,98,-9.91,0.367346935,0.204081631,0.124999995,0.426666661,0.55555554,0.388888878,0.428571398,,,
Player 35,2,107,-15.96,0.186915886,0.06542056,0.049999999,0.393939382,0.352941156,0.235294104,0.249999938,,,
Player 36,1,41,41.87,0.804878029,0.097560973,0,0.534482749,0.533333316,0.199999993,0.666666556,,,
Player 37,2,716,-40.88,0.26396648,0.138268156,0.027777778,0.349056603,0.464285711,0.335714283,0.617021263,4,6,-9.28
Player 38,2,72,-10.47,0.569444437,0.069444443,0,0.136363635,0.289473677,0.368421043,0.499999964,,,
Player 39,2,165,-1.67,0.303030301,0.09090909,0.014285714,0.513513507,0.622222208,0.111111109,0.19999996,,,
Player 40,2,148,25.98,0.324324322,0.094594594,0.018181818,0.233333331,0.428571418,0.380952372,0.437499973,,,
Player 41,2,91,-69.08,0.461538456,0.395604391,0.319999987,0.508196713,0.413793089,0.413793089,0.333333306,,,
Player 42,1,1490,23.03,0.168456376,0.104026846,0.04789272,0.347931873,0.485148512,0.272277226,0.636363625,,,
Player 43,2,45,-2.89,0.333333326,0.13333333,0,0.291666655,0.357142832,0.142857133,0.49999975,,,
Player 44,2,52,-22.68,0.269230764,0,0,0.103448272,0.230769213,0.384615355,0.39999992,,,
Player 45,1,133,-38.16,0.488721801,0.052631579,0.074999998,0.335664333,0.347222217,0.263888885,0.210526305,,,
Player 46,2,173,2.1,0.225433525,0.098265895,0.028985507,0.326923071,0.479999981,0.279999989,0.57142849,,,
Player 47,2,69,-8.14,0.347826082,0.159420288,0,0.14634146,0.411764682,0.529411734,0.444444395,,,
Player 48,2,1495,-133.35,0.259531772,0.074916388,0.029357798,0.343390804,0.463126842,0.324483775,0.381818178,,,
Player 49,1,625,-8.39,0.2832,0.0608,0.008064516,0.160112359,0.360248445,0.341614905,0.5090909,,,
Player 50,2,53,9.89,0.245283014,0,0,0.285714272,0.454545413,0.272727248,0.666666444,,,
Player 51,2,164,-2.95,0.274390242,0.134146341,0.016129032,0.461538454,0.605263142,0.157894733,0.333333278,,,
Player 52,19,427,-8.78,0.156908665,0.1264637,0.073333333,0.303370783,0.466666656,0.355555548,0.499999969,8,16,-26.46
Player 53,2,384,6.8,0.205729166,0.049479167,0,0.235714284,0.362318835,0.304347822,0.428571408,,,
Player 54,2,69,15.13,0.59420289,0.08695652,0.058823526,0.280487801,0.486486473,0.324324316,0.666666611,,,
Player 55,1,153,-9.49,0.39215686,0.045751634,0,0.547826082,0.388888882,0.351851845,0.631578914,,,
Player 56,1,61,-55.1,0.377049174,0.27868852,0.13636363,0.448979583,0.428571408,0.523809499,0.272727248,,,
Player 57,2,1298,-18.45,0.1201849,0.083975347,0.0456621,0.238317756,0.351351348,0.315315312,0.542857127,43,33,3.43
Player 58,1,14220,-23.59,0.132067511,0.119409283,0.050555905,0.341605273,0.446376811,0.260144927,0.554317547,,,
Player 59,2,379,-63.3,0.208443271,0.047493404,0.021276596,0.320312497,0.439393933,0.287878784,0.578947338,,,
Player 60,1,152,-19.33,0.184210525,0.111842105,0.020408163,0.365384608,0.38461537,0.307692296,0.249999969,,,
Player 61,1,121,-11.06,0.206611569,0.148760329,0.049999999,0.276595739,0.578947338,0.578947338,0.636363579,,,
Player 62,19,59,-2.96,0.271186436,0.118644066,0.068965515,0.079999997,0.363636331,0.454545413,0.39999992,,,
Player 63,2,49,-7.73,0.57142856,0.14285714,0.062499996,0.479166657,0.499999979,0.24999999,0.499999917,,,
Player 64,2,140,-30.93,0.364285712,0.157142856,0.042553191,0.444444437,0.5142857,0.285714278,0.29999997,,,
Player 65,1,41,-13.22,0.560975596,0.097560973,0.076923071,0.232558134,0.363636347,0.227272717,0.39999992,,,
Player 66,2,58,8.37,0.499999991,0.137931032,0.062499996,0.196078428,0.449999978,0.349999983,0.428571367,,,
Player 67,19,94,-8.47,0.468085101,0.085106382,0,0.144578312,0.309523802,0.214285709,0.444444395,,,
Player 68,1,186,-1.95,0.333333332,0.086021505,0,0.237704916,0.355932197,0.305084741,0.555555525,,,
Player 69,2,567,16.86,0.1005291,0.082892416,0.039800995,0.274999997,0.487179475,0.4102564,0.687499957,20,12,2.32
Player 70,19,984,18.35,0.12804878,0.071138211,0.048295454,0.310160426,0.384615381,0.182692306,0.631578914,30,19,12.21
Player 71,2,3253,34.7,0.12480787,0.100522594,0.03913738,0.345622119,0.472573838,0.23206751,0.581818171,,,
Player 72,2,83,-23.18,0.602409631,0.072289156,0.029411764,0.305263155,0.477272716,0.386363628,0.235294104,,,
Player 73,2,74,-6.68,0.499999993,0.067567567,0,0.351851845,0.518518499,0.25925925,0.428571367,,,
Player 74,19,174,-11.13,0.344827584,0.178160919,0.065573769,0.37373737,0.391304339,0.326086949,0.266666649,9,9,5.45
Player 75,19,42,-20.81,0.357142849,0.190476186,0.058823526,0.27272726,0.272727248,0.272727248,0.333333222,,,
Player 76,2,130,8.51,0.561538457,0.030769231,0,0.526315786,0.515624992,0.281249996,0.499999972,,,
Player 77,1,73,12.88,0.410958898,0,0,0.499999994,0.470588221,0.529411749,0.44444442,,,
Player 78,2,114,-4.94,0.526315785,0.035087719,0.020408163,0.333333331,0.413793096,0.379310338,0.454545434,,,
Player 79,1,161,-26.52,0.291925464,0.049689441,0.014705882,0.292134828,0.326086949,0.28260869,0.461538426,,,
Player 80,1,41,-9.65,0.414634136,0.14634146,0,0.24999999,0.333333306,0.416666632,0.59999988,,,
Player 81,2,55,5.18,0.181818179,0.145454543,0,0.545454496,0.79999984,0.39999992,0.49999975,,,
Player 82,2,53,-2.14,0.113207545,0.056603773,0,0.09999999,0.142857122,0,0,,,
Player 83,2,135,13.33,0.25185185,0.103703703,0,0.370370364,0.481481464,0.296296285,0.749999906,,,
Player 84,2,287,-145.8,0.484320556,0.003484321,0,0.175675675,0.282442746,0.358778623,0.255319144,,,
Player 85,2,400,-4.78,0.2,0.035,0.006993007,0.255639096,0.393939388,0.318181813,0.523809499,,,
Player 86,2,119,18.51,0.084033613,0.06722689,0.048780487,0.466666636,0.624999922,0.249999969,0.9999995,,,
Player 87,2,245,-6.74,0.236734693,0.073469387,0.034482758,0.449438197,0.439999991,0.279999994,0.642857097,,,
Player 88,2,49,-14,0.224489791,0.122448977,0,0.187499988,0.222222198,0.333333296,0.333333222,,,
Player 89,2,7074,37.43,0.188153803,0.116341532,0.036363636,0.27919708,0.368965517,0.235632184,0.531707314,3,3,0.85
Player 90,2,238,-82.18,0.588235292,0.084033613,0.042553191,0.403846152,0.398437497,0.249999998,0.31249999,,,
Player 91,2,206,17.44,0.49029126,0.160194174,0.041666666,0.29120879,0.386363632,0.36363636,0.406249987,,,
Player 92,2,40,-1.67,0.099999998,0,0,0.444444395,0.749999813,0,0,,,
Player 93,2,42,-0.25,0.095238093,0.07142857,0,0,0,0,0,,,
Player 94,2,83,-49.29,0.855421676,0.060240963,0.034482757,0.269503544,0.343749995,0.328124995,0.523809499,,,
Player 95,2,112,8.15,0.107142856,0.098214285,0,0.529411734,0.59999994,0.19999998,0.49999975,,,
Player 96,2,46,-5.02,0.10869565,0.04347826,0.041666665,0.29999997,0.39999992,0.19999996,0,,,
Player 97,2,100,-44.1,0.179999998,0.089999999,0.066666665,0.342857133,0.399999973,0.333333311,0.19999996,,,
Player 98,2,84,12.14,0.464285709,0.107142856,0,0.22535211,0.424242411,0.333333323,0.272727248,3,8,-4.08
Player 99,2,88,-19.5,0.477272722,0.068181817,0.117647055,0.591397843,0.523809511,0.261904756,0.363636331,,,
Player 100,2,1055,-0.21,0.156398104,0.093838862,0.0234375,0.388888887,0.37391304,0.269565215,0.387096762,,,
Player 101,2,40,5.48,0.174999996,0.074999998,0.058823526,0.249999938,0.49999975,0.49999975,0.999999,,,
Player 102,2,43,2.9,0.279069761,0.186046507,0.153846142,0.454545413,0.499999917,0.166666639,0,,,
Player 103,2,246,33.13,0.333333332,0.036585366,0.011494253,0.19879518,0.467532461,0.350649346,0.629629606,,,
Player 104,2,47,10.65,0.085106381,0.042553191,0,0.29999997,0.499999917,0.166666639,0.999999,,,
Player 105,2,353,-24.82,0.104815864,0.093484419,0.042372881,0.14285714,0.279999989,0.439999982,0.272727248,13,7,1.11
Player 106,2,59,-4.5,0.067796609,0.050847457,0,0.59999988,0.666666444,0.333333222,0,,,
Player 107,2,843,-61.58,0.253855278,0.048635824,0,0.311475409,0.403061222,0.265306121,0.403846146,,,
Player 108,2,178,-9.51,0.33707865,0.129213482,0.053333333,0.305263155,0.392156855,0.235294113,0.333333306,,,
Player 109,2,5028,24.49,0.113961814,0.091686555,0.036712329,0.35033557,0.437333332,0.245333333,0.630434776,22,20,7.92
Player 110,2,40,-19.42,0.124999997,0.024999999,0,0.166666653,0.166666639,0.499999917,0.333333222,,,
Player 111,2,2262,-61.76,0.172413793,0.151635721,0.08598351,0.330434782,0.385964911,0.333333332,0.447368415,,,
Player 112,2,78,-4.44,0.153846152,0.115384614,0.047619045,0.538461497,0.374999953,0.124999984,0,,,
Player 113,2,90,0.07,0.45555555,0.299999997,0.161290317,0.344262289,0.424242411,0.151515147,0.39999992,,,
Player 114,2,825,-119.15,0.62060606,0.246060606,0.07073955,0.381005586,0.466824643,0.289099525,0.418032783,,,
Player 115,2,405,5.97,0.175308642,0.138271605,0.043478261,0.374999996,0.586956509,0.347826079,0.687499957,,,
Player 116,2,109,1.84,0.155963301,0.110091742,0,0.518518499,0.39999996,0.69999993,0.285714245,,,
Player 117,2,1117,28.31,0.138764548,0.115487914,0.052083333,0.484848482,0.394495409,0.192660549,0.571428544,,,
Player 118,2,222,20.87,0.202702702,0.126126126,0.044776119,0.343283577,0.473684198,0.184210521,0.428571367,,,
Player 119,2,2701,35.38,0.188818956,0.103665309,0.037735849,0.242463958,0.395225463,0.294429707,0.58558558,,,
Player 120,2,341,-82.71,0.240469208,0.114369501,0.047619047,0.382812497,0.348484843,0.242424239,0.31249998,,,
Player 121,2,444,-8.07,0.148648648,0.09009009,0.031847134,0.279069765,0.403508765,0.52631578,0.466666651,,,
Player 122,2,142,-29.85,0.190140844,0.063380281,0.032786885,0.181818178,0.304347813,0.304347813,0.285714245,,,
Player 123,2,357,-44.81,0.324929971,0.19047619,0.075630251,0.375690606,0.428571423,0.261904759,0.499999977,,,
Player 124,2,68,-64.09,0.676470578,0.176470586,0.13793103,0.371428566,0.5135135,0.324324316,0.166666653,,,
Player 125,2,279,22.53,0.150537634,0.089605734,0.044444444,0.370967736,0.468749985,0.249999992,0.749999906,,,
Player 126,2,83,39.45,0.156626504,0.108433734,0.08333333,0.333333296,0.749999813,0.499999875,0.9999995,,,
Player 127,2,86,-34.38,0.430232553,0.023255814,0.032258063,0.229508193,0.451612889,0.290322571,0.333333296,,,
Player 128,2,154,-13.69,0.344155842,0.006493506,0,0.258620687,0.388888882,0.222222218,0.416666632,,,
Player 129,2,40,-30.21,0.224999994,0.099999998,0,0.29999997,0.39999992,0.39999992,0,,,
Player 130,2,63,-6.56,0.222222219,0.063492062,0,0.227272717,0.272727248,0.363636331,0.749999813,,,
Player 131,2,267,-34.22,0.127340823,0.104868913,0.035714285,0.424999989,0.428571408,0.238095227,0,14,7,21.36
Player 132,2,239,-40.9,0.359832634,0.020920502,0,0.265624999,0.418604646,0.372093019,0.468749985,,,
Player 133,2,139,11.93,0.273381293,0.115107913,0.049999999,0.270588232,0.384615375,0.3076923,0.583333285,,,
Player 134,2,6475,-56.54,0.092818533,0.083397683,0.045335658,0.259880239,0.419277107,0.306024096,0.598425192,24,14,10.75
Player 135,2,147,-22.88,0.156462584,0.095238095,0.065573769,0.319999987,0.153846142,0.307692284,0,,,
Player 136,2,84,-11.68,0.249999997,0.083333332,0.103448272,0.4102564,0.631578914,0.315789457,0.499999917,,,
Player 137,2,1641,19.06,0.291285801,0.137111517,0.105734767,0.320448877,0.445652173,0.358695651,0.469696966,,,
Player 138,2,69,9.57,0.159420288,0.115942027,0.130434777,0.307692284,0.499999917,0,0,,,
Player 139,1,117,16.38,0.179487178,0.042735042,0,0.159090905,0.454545434,0.40909089,0.777777691,,,
Player 140,2,65,-29.24,0.323076918,0.061538461,0.043478259,0.23913043,0.238095227,0.380952363,0.249999969,,,
Player 141,1,47,21.03,0.702127645,0.276595739,0.119999995,0.139999997,0.399999984,0.279999989,0.428571367,,,
Player 142,2,729,45.73,0.373113854,0.106995885,0.019379845,0.374193548,0.497872338,0.297872339,0.514285707,,,
Player 143,2,325,-28.86,0.246153845,0.147692307,0.017241379,0.443548384,0.466666659,0.349999994,0.571428544,,,
Player 144,2,4481,-110.1,0.16067842,0.100870341,0.022249691,0.196253345,0.368896925,0.323688969,0.564245807,,,
Player 145,2,517,-53.46,0.220502901,0.083172147,0.020725388,0.238317756,0.34653465,0.30693069,0.387096762,,,
Player 146,2,1498,45.07,0.092790387,0.077436582,0.031311155,0.36842105,0.513513507,0.229729727,0.529411734,41,30,3.4
Player 147,1,125,-15.28,0.311999998,0.095999999,0,0.392857136,0.352941166,0.058823528,0.49999975,,,
Player 148,1,85,-5.63,0.188235292,0.094117646,0,0.454545434,0.428571398,0.142857133,0,,,
Player 149,1,1555,-149.04,0.228938907,0.108038585,0.045889101,0.254870129,0.339743589,0.240384615,0.413333328,,,
Player 150,1,41,2.41,0.268292676,0.048780487,0.049999998,0.444444428,0.666666611,0.249999979,0.666666444,,,
Player 151,2,572,38.45,0.152097902,0.141608391,0.053191489,0.297297293,0.524999987,0.249999994,0.89999991,16,24,-6.78
Player 152,1,258,1.99,0.104651162,0.046511628,0,0.196078428,0.399999984,0.279999989,0.57142849,,,
Player 153,2,118,-47.03,0.559322029,0.110169491,0.039215686,0.457943921,0.428571421,0.178571425,0.29999997,,,
Player 154,2,42,15.52,0.261904756,0.166666663,0.052631576,0.148148143,0.333333306,0.333333306,0.749999813,,,
Player 155,2,1670,54.89,0.133532934,0.088622754,0.037735849,0.285245901,0.399999998,0.268749998,0.534883708,,,
Player 156,2,351,-105.65,0.333333332,0.139601139,0.093457943,0.361990949,0.38383838,0.32323232,0.31249999,,,
Player 157,2,82,-8.98,0.280487801,0.085365853,0.035714284,0.399999987,0.411764682,0.235294104,0.499999875,,,
Player 158,2,962,37.2,0.143451143,0.107068607,0.024316109,0.297297296,0.395833329,0.270833331,0.730769203,,,
Player 159,2,10673,617.92,0.167150754,0.135482058,0.040948276,0.379158513,0.478510028,0.258834766,0.546125459,,,
Player 160,2,40,-0.48,0.074999998,0.049999999,0,0,0.49999975,0.49999975,0.999999,,,
Player 161,2,51,12.82,0.098039214,0.098039214,0.071428566,0,0.49999975,0.49999975,0.999999,,,
Player 162,2,97,-21.77,0.546391747,0.185567008,0,0.255813951,0.302325574,0.302325574,0.461538426,,,
Player 163,2,13013,-36.54,0.140935987,0.058326289,0.021891605,0.297520661,0.366112957,0.198671096,0.555183945,,,
Player 164,2,93,-16.94,0.193548385,0.021505376,0,0.464285698,0.58823526,0.176470578,0.666666444,,,
Player 165,2,73,6.21,0.342465749,0,0,0.232142853,0.346153833,0.307692296,0.624999922,,,
Player 166,2,129,-42.24,0.395348834,0.03875969,0.079999998,0.144329895,0.304347819,0.434782599,0.39999998,,,
Player 167,2,386,-22.14,0.305699481,0.194300518,0.048780487,0.310526314,0.481927705,0.313253008,0.307692296,,,
Player 168,2,454,29.28,0.262114537,0.140969163,0.061349693,0.436090222,0.485294111,0.220588232,0.333333311,,,
Player 169,2,48,-17.81,0.354166659,0.062499999,0,0.38235293,0.437499973,0.124999992,0,,,
Player 170,2,80,-2.34,0.187499998,0.137499998,0.035714284,0.454545434,0.39999996,0.39999996,0.249999938,,,
Player 171,1,79,-16.37,0.367088603,0.037974683,0.038461537,0.103448274,0.296296285,0.518518499,0.499999964,,,
Player 172,19,152,-62.07,0.611842101,0.09868421,0,0.119047618,0.240963853,0.361445779,0.29999999,5,6,-1.33
Player 173,1,665,-88.48,0.366917293,0.133834586,0.066666666,0.317269076,0.444444443,0.363247862,0.458823524,,,
Player 174,2,309,5.91,0.226537216,0.08737864,0.046296296,0.622950815,0.524590155,0.213114751,0.461538426,,,
Player 175,1,50,-14.84,0.739999985,0.439999991,0.176470578,0.454545446,0.481481464,0.333333321,0.333333296,,,
Player 176,1,63,-9,0.158730156,0.047619047,0.037037036,0.291666655,0.363636331,0.272727248,0.666666444,,,
Player 177,1,65,-0.08,0.246153842,0.092307691,0,0.29999999,0.416666632,0.416666632,0.39999992,,,
Player 178,2,2943,81.18,0.349643221,0.195718654,0.050251256,0.219649915,0.345390898,0.294049008,0.535714284,,,
Player 179,1,78,31.52,0.19230769,0.076923076,0,0.333333324,0.499999969,0.499999969,0.624999922,,,
Player 180,2,616,-43.78,0.170454545,0.126623376,0.0456621,0.272727271,0.357142852,0.214285711,0.333333311,,,
Player 181,1,91,-3.32,0.219780217,0.109890109,0,0.523809511,0.449999978,0.299999985,0.499999917,,,
Player 182,2,361,-33.72,0.470914126,0.074792244,0.048387096,0.448275861,0.592857139,0.228571427,0.468749985,,,
Player 183,1,56,-5.14,0.21428571,0.035714285,0.062499996,0.428571413,0.333333306,0.416666632,0.19999996,,,
Player 184,2,165,-27.06,0.290909089,0.066666666,0.02,0.252427182,0.326530606,0.265306117,0.153846142,,,
Player 185,2,97,65.87,0.58762886,0.226804121,0.151515147,0.556603768,0.537037027,0.277777773,0.466666636,,,
Player 186,1,91,-10.78,0.483516478,0.087912087,0.111111105,0.26829268,0.309523802,0.333333325,0.357142832,,,
Player 187,19,503,34.82,0.141153081,0.125248509,0.052083333,0.482758612,0.388888878,0.111111108,0.749999813,15,17,5.55
Player 188,1,56,-8.01,0.499999991,0.178571425,0.058823526,0.480769222,0.444444428,0.296296285,0.624999922,,,
Player 189,1,26016,-6.88,0.126345326,0.110162977,0.041088523,0.360021639,0.444665012,0.252605459,0.5108055,25,17,5.85
Player 190,2,181,13.88,0.580110494,0.309392263,0.015873016,0.61428571,0.512820506,0.19230769,0.466666636,,,
Player 191,2,66,-3.22,0.09090909,0.045454545,0,0.363636331,0.39999992,0,0,,,
Player 192,2,167,-5.32,0.203592813,0.077844311,0.056603773,0.315789468,0.533333316,0.266666658,0.499999938,,,
Player 193,2,82,-16.61,0.402439019,0.231707314,0.064516127,0.419354832,0.448275847,0.275862059,0.499999938,,,
Player 194,19,52,-10.41,0.326923071,0.076923075,0,0.142857139,0.277777762,0.22222221,0.499999875,,,
Player 195,2,97,-0.17,0.226804121,0.103092782,0.031249999,0.499999987,0.59999997,0.349999983,0.57142849,,,
Player 196,1,95,4.28,0.221052629,0.07368421,0.031249999,0.176470583,0.388888867,0.22222221,0.749999813,,,
Player 197,2,81,2.33,0.259259256,0.160493825,0,0.62499998,0.437499973,0.249999984,0.749999813,,,
Player 198,2,360,-12.54,0.194444444,0.097222222,0.041666666,0.537735844,0.499999991,0.321428566,0.44444442,,,
Player 199,2,2087,-25.34,0.135122185,0.072352659,0.016528926,0.354838709,0.406542054,0.242990653,0.538461528,,,
Player 200,2,151,16.53,0.397350991,0.15231788,0.044444443,0.370786513,0.520833322,0.187499996,0.666666593,7,18,-12.74
Player 201,1,42,2.27,0.190476186,0.023809523,0,0.111111105,0.333333296,0.222222198,0.9999995,,,
Player 202,2,748,123.43,0.239304813,0.072192513,0.026666667,0.317343172,0.479166663,0.277777776,0.649999984,,,
Player 203,1,115,3.91,0.121739129,0.078260869,0.025641025,0.27272726,0.461538426,0.153846142,0.49999975,,,
Player 204,2,388,5.5,0.108247422,0.079896907,0.014925373,0.347826079,0.461538444,0.115384611,0.333333222,20,9,3.13
Player 205,2,124,11.53,0.104838709,0.04032258,0.020408163,0.285714272,0.499999958,0.249999979,0.666666444,,,
Player 206,19,632,3.03,0.175632911,0.039556962,0.005050505,0.305418718,0.46534653,0.26732673,0.666666642,16,11,-0.85
Player 207,19,724,-15.13,0.290055248,0.063535912,0.0390625,0.4057971,0.473684208,0.252631578,0.479166657,21,33,2.75
Player 208,2,76,-7.96,0.184210524,0.118421051,0,0.258064508,0.636363579,0.454545413,0.59999988,,,
Player 209,2,196,-14.11,0.341836733,0.153061224,0.03125,0.55555555,0.450980383,0.235294113,0.499999958,,,
Player 210,2,100,-7.01,0.089999999,0.089999999,0.027777777,0.39999996,0.39999992,0.19999996,0,,,
Player 211,2,42,-29.3,0.642857128,0.380952372,0.230769213,0.399999991,0.318181804,0.227272717,0.19999996,,,
Player 212,2,206,-6.5,0.684466016,0.101941747,0.083333332,0.596899222,0.544117643,0.213235293,0.413793089,,,
Player 213,19,45,0.76,0.13333333,0.088888887,0,0.333333278,0.666666444,0.333333222,0,,,
Player 214,2,2880,-18.75,0.154513889,0.090625,0.01996008,0.360808709,0.458966564,0.27355623,0.477777772,,,
Player 215,2,1248,101.07,0.19150641,0.133814102,0.032397408,0.176470588,0.420731705,0.365853656,0.59999999,,,
Player 216,1,265,-84.5,0.558490564,0.056603773,0.019047619,0.209523809,0.313333331,0.313333331,0.36170212,,,
Player 217,2,143,-2.09,0.146853146,0.069930069,0.020408163,0.222222216,0.555555525,0.333333315,0.666666556,,,
Player 218,2,168,-19.33,0.220238094,0.113095237,0.016393442,0.26760563,0.411764694,0.352941166,0.416666632,,,
Player 219,2,148,-9.47,0.202702701,0.074324324,0.038461538,0.469387746,0.479999981,0.279999989,0.57142849,6,8,-0.35
Player 220,2,43,-3.83,0.209302321,0.093023254,0,0.315789457,0.499999938,0.249999969,0.49999975,,,
Player 221,2,3060,13.5,0.137908497,0.116013072,0.051130777,0.363636363,0.440972221,0.222222221,0.562499991,6,5,0.25
Player 222,1,97,-18.32,0.58762886,0.257731956,0.066666664,0.482352936,0.577777765,0.177777774,0.499999938,,,
Player 223,1,212,26.88,0.311320753,0.075471698,0.016393442,0.257142855,0.35294117,0.294117641,0.59999996,,,
Player 224,2,50,-37.49,0.559999989,0.339999993,0,0.424999989,0.349999983,0.249999988,0.39999992,,,
Player 225,2,211,-59.38,0.597156395,0.208530805,0.076923076,0.445344128,0.441441437,0.342342339,0.342105254,,,
Player 226,2,61,17.42,0.311475405,0.098360654,0,0.566666648,0.624999961,0.187499988,0.666666444,,,
Player 227,19,443,19.18,0.162528216,0.038374718,0.005882353,0.307692306,0.463768109,0.173913041,0.583333285,14,8,-0.53
Player 228,19,9304,-267.29,0.130266552,0.070614789,0.026819923,0.315983175,0.401582591,0.237388724,0.499999998,296,212,-7.7
Player 229,2,48,5.63,0.604166654,0.249999995,0.111111105,0.42857142,0.559999978,0.23999999,0.499999917,,,
Player 230,2,167,65.58,0.461077842,0.101796407,0.017543859,0.588652478,0.677419344,0.177419352,0.636363579,,,
Player 231,19,250,48.19,0.191999999,0.12,0,0.413043474,0.531914882,0.255319144,0.666666611,3,9,-4.1
Player 232,2,86,19.56,0.337209298,0.116279068,0,0.28260869,0.523809499,0.523809499,0.545454496,,,
Player 233,2,1457,57.05,0.403568977,0.083733699,0.010683761,0.242312423,0.478036174,0.354005167,0.547445251,82,76,1.31
Player 234,2,3259,-57.34,0.285363608,0.124578091,0.045689655,0.334688347,0.433701657,0.302486187,0.447488582,,,
Player 235,1,41,15.29,0.170731703,0.14634146,0,0.142857133,0.428571367,0.285714245,0.9999995,,,
Player 236,2,1303,-103.84,0.233307751,0.145817344,0.06504065,0.4009009,0.448598129,0.299065419,0.453124993,,,
Player 237,1,79,-22.9,0.303797465,0.101265822,0.103448272,0.15384615,0.263157881,0.315789457,0.499999917,,,
Player 238,19,296,-7.12,0.253378378,0.175675675,0.011111111,0.202127657,0.339622635,0.245283014,0.538461497,9,18,12.11
Player 239,19,587,81.6,0.235093696,0.066439523,0.010362694,0.262008732,0.398373981,0.276422762,0.617647041,8,19,-30.54
Player 240,2,89,30.11,0.348314603,0.112359549,0,0.55072463,0.633333312,0.399999987,0.583333285,,,
Player 241,2,41,2.52,0.43902438,0.195121946,0,0.393939382,0.466666636,0.333333311,0.39999992,,,
